trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.4, 'e': 0.8325000000000036}",20,0,-142.15747364239064,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
68,False,"{'a': 0.4, 'e': 0.8300000000000036}",25,0,-72.84733275657915,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.8275000000000037}",25,0,-85.13883887076722,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.8250000000000037}",30,0,-134.99572545825302,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
71,False,"{'a': 0.4, 'e': 0.8225000000000038}",25,0,-156.43652457098946,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
72,False,"{'a': 0.4, 'e': 0.8200000000000038}",20,0,-46.36666464035462,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.8175000000000039}",20,0,-16.116689174220834,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.4, 'e': 0.8150000000000039}",20,0,-83.1738864758006,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
75,False,"{'a': 0.4, 'e': 0.812500000000004}",25,0,-126.11301998687894,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.4, 'e': 0.810000000000004}",20,0,-78.11813688311983,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.8075000000000041}",20,0,-41.68797009457175,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.4, 'e': 0.8050000000000042}",30,0,-161.90889075773597,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
79,False,"{'a': 0.4, 'e': 0.8025000000000042}",20,0,-187.99439743578452,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
80,False,"{'a': 0.4, 'e': 0.8000000000000043}",20,0,-11.599585167249149,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.7975000000000043}",20,4,-5.793486687896917,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.7950000000000044}",30,0,-96.40305465307337,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
83,False,"{'a': 0.4, 'e': 0.7925000000000044}",20,3,-119.10738767834076,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
84,False,"{'a': 0.4, 'e': 0.7900000000000045}",25,0,-111.82436420750106,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.7875000000000045}",25,0,-114.87795358485525,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
86,False,"{'a': 0.4, 'e': 0.7850000000000046}",20,0,-61.14484587675265,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.7825000000000046}",25,0,-58.05350166996579,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.4, 'e': 0.7800000000000047}",20,0,-43.01047255058192,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.4, 'e': 0.7775000000000047}",20,12,-55.33947775186079,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.4, 'e': 0.7750000000000048}",20,0,-75.39392515271918,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.4, 'e': 0.7725000000000048}",30,13,-87.22343050690512,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
92,False,"{'a': 0.4, 'e': 0.7700000000000049}",20,0,-67.01084837525357,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
93,False,"{'a': 0.4, 'e': 0.767500000000005}",20,2,-6.3839043164976985,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.765000000000005}",30,20,16.185434982483034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.7625000000000051}",20,0,-58.148544382268916,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.4, 'e': 0.7600000000000051}",25,9,-62.72266596768819,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.4, 'e': 0.7575000000000052}",20,12,14.058874280784782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.7550000000000052}",30,0,-164.52549422810594,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
99,False,"{'a': 0.4, 'e': 0.7525000000000053}",30,0,-187.88754148454814,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
100,False,"{'a': 0.4, 'e': 0.7500000000000053}",20,0,-64.13172155519725,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.4, 'e': 0.7475000000000054}",20,0,-83.3455513097554,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.7450000000000054}",20,0,-42.39988966295546,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.7425000000000055}",20,0,-100.78385359527596,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
104,False,"{'a': 0.4, 'e': 0.7400000000000055}",20,9,-16.773229681968942,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.7375000000000056}",25,15,-51.5668175664984,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.7350000000000056}",25,13,-3.1267056520231353,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.7325000000000057}",30,0,-159.08120971114855,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
108,False,"{'a': 0.4, 'e': 0.7300000000000058}",20,0,-108.70602466763016,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.4, 'e': 0.7275000000000058}",20,12,9.587165664766273,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.7250000000000059}",25,0,-55.555316994453875,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
111,False,"{'a': 0.4, 'e': 0.7225000000000059}",20,0,-89.51336786852771,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.4, 'e': 0.720000000000006}",20,6,-76.7524790259765,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.4, 'e': 0.717500000000006}",20,13,-10.888898387806144,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.7150000000000061}",20,0,-41.66258503693361,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.4, 'e': 0.7125000000000061}",25,0,-132.30135974617647,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
116,False,"{'a': 0.4, 'e': 0.7100000000000062}",30,0,-190.20124743877025,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
117,False,"{'a': 0.4, 'e': 0.7075000000000062}",20,0,-173.57363030378087,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
118,False,"{'a': 0.4, 'e': 0.7050000000000063}",20,0,-22.88256406728849,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.4, 'e': 0.7025000000000063}",35,26,-49.815536526743216,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
120,False,"{'a': 0.4, 'e': 0.7000000000000064}",20,5,-5.3458592734107375,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.6975000000000064}",25,0,-65.2051264775587,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.4, 'e': 0.6950000000000065}",20,0,-132.2413395364929,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
123,False,"{'a': 0.4, 'e': 0.6925000000000066}",20,2,-37.02347665687294,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
124,False,"{'a': 0.4, 'e': 0.6900000000000066}",20,1,-75.29078445870863,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
125,False,"{'a': 0.4, 'e': 0.6875000000000067}",35,14,-105.16703051638943,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
126,False,"{'a': 0.4, 'e': 0.6850000000000067}",25,13,-33.731666908952135,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.6825000000000068}",20,0,-60.483013189982685,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
